historical_capacity,live_nodes,stages,mean_accuracy,mean_true_node_oracle_accuracy,mean_true_node_oracle_gap
4096,1,6,89.04665148172217,89.21094463938239,0.16429315766022512
4096,2,15,83.75568453562352,86.4137439151668,2.658059379543274
4096,3,18,81.38581309606141,85.60697843218378,4.221165336122375
4096,4,9,79.09669578903376,85.37074151712486,6.2740457280910995
4096,5,2,77.12851936754247,84.49665941730834,7.368140049765863
8192,1,6,89.34830272193346,89.43995790106773,0.09165517913426886
8192,2,15,84.31182137560724,86.77072580588829,2.4589044302810352
8192,3,18,81.05283937180796,85.18209018040676,4.129250808598793
8192,4,9,78.81948344474428,84.37424753612223,5.5547640913779475
8192,5,2,76.74694841199867,83.22924626266189,6.482297850663208
